stripN,Hirose
0,7
1,9
2,13
3,15
4,17
5,19
6,21
7,23
8,25
9,27
10,29
11,31
12,35
13,37
14,39
15,41
16,43
17,45
18,47
19,49
20,51
21,53
22,57
23,59
24,61
25,63
26,65
27,67
28,69
29,71
30,73
31,75
32,79
33,81
34,83
35,85
36,87
37,89
38,91
39,93
40,95
41,97
42,101
43,103
44,105
45,107
46,109
47,111
48,113
49,115
50,117
51,119
52,123
53,125
54,127
55,129
56,131
57,133
58,135
59,137
60,139
61,141
62,145
63,147
64,148
65,146
66,142
67,140
68,138
69,136
70,134
71,132
72,130
73,128
74,126
75,124
76,120
77,118
78,116
79,114
80,112
81,110
82,108
83,106
84,104
85,102
86,98
87,96
88,94
89,92
90,90
91,88
92,86
93,84
94,82
95,80
96,76
97,74
98,72
99,70
100,68
101,66
102,64
103,62
104,60
105,58
106,54
107,52
108,50
109,48
110,46
111,44
112,42
113,40
114,38
115,36
116,32
117,30
118,28
119,26
120,24
121,22
122,20
123,18
124,16
125,14
126,10
127,8
